case_type,pending_days,evidence_pages,witness_count,priority_level,judge_load,delay_risk
Corporate,629,1143,16,Medium,69,0
Property,543,3831,36,High,84,0
Family,1925,3494,2,High,55,0
Property,2161,2643,25,Critical,49,0
Property,1096,1423,29,High,68,0
Criminal,2916,2598,28,Critical,54,0
Family,1987,351,10,Critical,51,0
Family,2683,4768,45,Medium,117,0
Family,839,3628,23,Critical,30,0
Property,2210,759,32,Low,12,0
Corporate,1118,4626,31,Medium,75,0
Family,319,61,19,Critical,20,0
Tax,2453,3898,15,Critical,33,0
Property,798,1969,33,Medium,59,0
Criminal,2544,3480,17,High,97,0
Corporate,500,2148,36,Medium,30,0
Tax,2226,4517,20,High,34,0
Tax,117,2174,9,Medium,13,0
Criminal,2473,1257,38,Medium,113,0
Corporate,819,1786,3,Low,52,0
Property,1694,1861,2,Medium,56,0
Civil,1339,525,18,Low,32,0
Corporate,894,1861,23,Critical,69,0
Criminal,1323,4835,19,High,97,0
Tax,53,1414,7,High,30,0
Property,1916,276,35,Low,75,0
Corporate,340,1740,20,High,96,0
Civil,1514,1091,20,High,60,0
Civil,1261,1642,19,Medium,24,0
Family,2741,2086,41,Low,67,0
Family,2515,1089,16,High,35,0
Criminal,735,470,38,Critical,99,0
Corporate,1389,917,21,Low,101,0
Corporate,451,4856,29,Medium,68,0
Tax,1803,3748,44,Critical,99,0
Tax,2398,101,38,High,54,0
Tax,2664,756,45,High,75,0
Family,976,4194,24,Low,44,0
Corporate,1216,3964,37,High,105,0
Corporate,1864,2227,29,Low,103,0
Civil,1594,3968,31,High,119,0
Family,878,2022,45,Critical,73,0
Property,1619,1711,39,Medium,93,0
Family,1348,1199,12,Critical,86,0
Property,2119,2955,30,Medium,36,0
Civil,1977,2535,4,Low,96,0
Criminal,1338,4968,30,High,89,0
Corporate,416,481,5,Critical,40,0
Civil,2065,2921,16,High,21,0
Corporate,1191,136,27,Low,106,0
Tax,2055,1674,4,Medium,111,0
Criminal,2987,4581,8,Critical,54,0
Criminal,745,1818,48,Medium,41,0
Civil,2508,679,8,Medium,63,0
Criminal,2631,3257,17,Low,75,0
Property,2877,2142,46,Medium,96,0
Criminal,455,3839,44,Low,41,0
Corporate,1469,3363,3,Medium,24,0
Corporate,2103,2570,27,Medium,113,0
Corporate,414,4910,34,Critical,64,0
Corporate,85,1606,45,Low,50,0
Property,2711,4702,21,High,49,0
Family,135,2767,43,High,81,0
Tax,2926,654,24,High,116,0
Civil,699,2902,44,Critical,58,0
Corporate,405,2831,41,Critical,95,0
Criminal,772,4473,29,Medium,47,0
Corporate,996,4035,39,Medium,65,0
Criminal,337,2759,6,High,43,0
Tax,2168,1904,14,Medium,10,0
Tax,831,1538,14,Medium,19,0
Tax,139,641,37,Critical,49,0
Criminal,1694,4597,24,High,25,0
Corporate,2662,1557,13,Low,97,0
Tax,369,2357,1,High,55,0
Property,1618,2014,12,Critical,33,0
Criminal,1008,2090,42,High,23,0
Criminal,2433,4921,24,Low,99,0
Corporate,1945,4950,37,Medium,48,0
Criminal,197,2385,20,High,27,0
Criminal,586,2865,6,Critical,93,0
Tax,934,3058,12,Critical,50,0
Corporate,134,874,21,High,65,0
Tax,2077,2748,3,Medium,45,0
Tax,2227,935,27,Medium,33,0
Corporate,175,4958,46,Critical,99,0
Civil,2793,151,36,Critical,38,0
Tax,903,1136,17,Low,31,0
Property,328,3613,49,Medium,20,0
Property,1766,880,46,High,50,0
Criminal,675,313,15,Critical,58,0
Property,2800,2708,39,Critical,20,0
Criminal,667,1019,4,Critical,61,0
Civil,2316,2316,17,Critical,76,0
Corporate,2541,3705,38,Medium,94,0
Corporate,2530,306,11,Critical,84,0
Corporate,813,469,12,Medium,17,0
Property,926,2358,47,Low,40,0
Civil,400,3260,32,Low,83,0
Property,516,2723,27,High,15,0
Property,2067,3136,44,Critical,90,0
Civil,2242,4591,43,High,111,0
Civil,1390,272,27,Medium,80,0
Civil,221,1439,49,High,105,0
Civil,759,2356,40,High,22,0
Corporate,2291,1255,44,Critical,15,0
Family,2651,1019,29,Medium,76,0
Family,986,3780,9,Medium,36,0
Civil,410,4136,43,Critical,54,0
Family,2750,4431,3,Medium,115,0
Family,827,2631,39,Low,35,0
Civil,268,1466,29,Critical,13,0
Family,2777,2190,21,Critical,46,0
Property,1135,2941,35,Critical,30,0
Criminal,1416,3703,48,Low,37,0
Criminal,2582,2281,10,Medium,91,0
Civil,2279,1965,23,Low,41,0
Corporate,2997,4954,39,Low,112,0
Civil,1557,1873,25,Low,62,0
Corporate,1697,619,24,High,42,0
Criminal,66,4907,20,Medium,35,0
Civil,2721,4155,15,Medium,26,0
Tax,2026,3423,21,Critical,65,0
Property,1455,3010,42,Critical,102,0
Family,2842,4763,12,High,93,0
Corporate,2783,4297,18,Low,39,0
